Patient,No benefits,Responder,TIDE,IFNG,MSI Expr Sig,Merck18,CD274,CD8,CTL.flag,Dysfunction,Exclusion,MDSC,CAF,TAM M2
TCGA-CD-8526-01A,FALSE,NR,0.08,0.14,0.36,0.07,0,0.08,TRUE,0.08,1.23,0.14,0.01,0.03
TCGA-CD-8527-01A,FALSE,NR,0.51,-0.03,0.41,0.01,0,0.11,FALSE,-0.18,0.51,0.11,-0.01,-0.03
TCGA-CD-8528-01A,FALSE,NR,0.41,-0.11,0.54,-0.16,0,-0.23,FALSE,-1.29,0.41,0.08,0,0
TCGA-CD-8529-01A,FALSE,NR,1.45,0.13,0.46,0.16,0,0.2,TRUE,1.45,-0.96,-0.14,0.05,-0.05
TCGA-CD-8531-01A,FALSE,R,-0.65,-0.15,0.39,-0.11,0,-0.29,FALSE,0.32,-0.65,-0.06,-0.07,0.03
TCGA-CD-8532-01A,FALSE,NR,1.18,0.23,0.49,0.18,0,0.34,TRUE,1.18,-1.17,-0.12,-0.03,-0.02
TCGA-CD-8533-01A,FALSE,NR,0.73,-0.23,0.34,-0.19,0,-0.37,FALSE,-0.23,0.73,0.08,-0.04,0.08
TCGA-CD-8534-01A,FALSE,R,-0.7,-0.04,0.44,-0.03,0,-0.05,FALSE,0.01,-0.7,-0.05,-0.08,0.02
TCGA-CD-8535-01A,FALSE,NR,1.23,-0.13,0.4,-0.2,0,-0.13,FALSE,-0.98,1.23,0.15,0,0.04
TCGA-CD-A486-01A,FALSE,NR,0.39,-0.13,0.4,-0.1,0,-0.34,FALSE,-0.03,0.39,0.04,0.03,-0.01
TCGA-CD-A487-01A,FALSE,NR,2.47,-0.22,0.47,-0.15,0,-0.22,FALSE,-1.15,2.47,0.19,0.15,0.01
TCGA-CD-A489-01A,FALSE,NR,0.19,-0.1,0.43,-0.04,0,0.08,TRUE,0.19,1.41,0.01,0.19,0.01
TCGA-CD-A48A-01A,FALSE,R,-0.4,0,0.41,-0.1,0,-0.18,FALSE,-0.1,-0.4,0.03,-0.07,-0.01
TCGA-CD-A48C-01A,FALSE,NR,1.48,0.03,0.41,-0.04,0,-0.02,FALSE,-0.83,1.48,0.12,0.12,-0.02
TCGA-CD-A4MG-01A,FALSE,NR,0.79,-0.17,0.62,-0.16,0,-0.37,FALSE,-0.87,0.79,0.05,0.03,0.04
TCGA-CD-A4MH-01A,FALSE,NR,0.5,-0.08,0.36,-0.1,0,-0.16,FALSE,-0.42,0.5,0.07,-0.03,0.04
TCGA-CG-4301-01A,FALSE,R,-0.1,-0.01,0.44,-0.12,0,-0.36,FALSE,-0.78,-0.1,-0.07,0.09,-0.03
TCGA-CG-4305-01A,FALSE,R,-0.05,0.25,0.65,0.15,0,0.2,TRUE,-0.05,-0.15,-0.08,0.04,0.02
TCGA-CG-4306-01A,FALSE,R,-1.02,0.01,0.71,0.04,0,0.03,TRUE,-1.02,-0.04,0.01,0.05,-0.06
TCGA-CG-4436-01A,FALSE,R,-1.06,0.11,0.45,-0.12,0,-0.48,FALSE,-1.5,-1.06,0.03,-0.19,0
TCGA-CG-4437-01A,FALSE,NR,0.95,0.1,0.57,0.18,0,0.23,TRUE,0.95,-0.24,-0.01,0.02,-0.07
TCGA-CG-4438-01A,FALSE,R,-0.48,0.39,0.4,0.16,0,0.11,TRUE,-0.48,-0.94,0,-0.1,-0.03
TCGA-CG-4440-01A,FALSE,NR,0.68,-0.15,0.46,-0.17,0,-0.39,FALSE,-1.32,0.68,0.13,-0.05,0.01
TCGA-CG-4441-01A,FALSE,NR,0.52,0.03,0.53,0.04,0,0.04,FALSE,-0.09,0.52,0.02,0.1,-0.03
TCGA-CG-4443-01A,FALSE,NR,0.75,-0.3,0.42,-0.38,0,-0.65,FALSE,-1.18,0.75,0.04,-0.04,0.12
TCGA-CG-4444-01A,FALSE,R,-0.49,-0.07,0.47,-0.05,0,-0.13,FALSE,-0.57,-0.49,-0.03,-0.05,0
TCGA-CG-4460-01A,FALSE,NR,0.42,0.03,0.57,-0.05,0,-0.18,FALSE,-0.76,0.42,0.08,-0.04,0.01
TCGA-CG-4465-01A,FALSE,R,-0.82,0.13,0.71,0,0,-0.18,FALSE,-0.91,-0.82,-0.05,-0.02,-0.06
TCGA-CG-4466-01A,FALSE,NR,0.16,0.05,0.44,-0.2,0,-0.49,FALSE,-2.01,0.16,0.13,-0.13,0.02
TCGA-CG-4469-01A,FALSE,R,-1.37,-0.05,0.54,-0.15,0,-0.4,FALSE,-1.18,-1.37,-0.04,-0.16,0
TCGA-CG-4475-01A,FALSE,NR,1.25,-0.25,0.43,-0.27,0,-0.54,FALSE,-1.05,1.25,0.05,0.17,-0.04
TCGA-CG-4477-01A,FALSE,NR,0.02,0.32,0.56,0.15,0,0.18,TRUE,0.02,-1.19,-0.05,-0.07,-0.06
TCGA-CG-5717-01A,FALSE,NR,0.47,0.02,0.55,0.02,0,0.11,TRUE,0.47,-0.78,-0.08,-0.02,-0.02
TCGA-CG-5718-01A,FALSE,R,-0.48,-0.01,0.39,0.05,0,-0.06,FALSE,0.84,-0.48,-0.01,-0.07,0
TCGA-CG-5720-01A,FALSE,R,-0.7,-0.07,0.59,0.02,0,0.04,FALSE,0.73,-0.7,-0.06,-0.06,0.01
TCGA-CG-5721-01A,FALSE,NR,1.06,0.44,0.7,0.37,0,0.47,TRUE,1.06,-1.06,-0.04,-0.04,-0.09
TCGA-CG-5722-01A,FALSE,NR,1.14,0.18,0.5,0.25,0,0.48,TRUE,1.14,-1.01,-0.06,-0.1,-0.01
TCGA-CG-5723-01A,FALSE,NR,0.17,0.36,0.72,0.24,0,0.29,TRUE,0.17,-0.23,0.05,0.02,-0.1
TCGA-CG-5724-01A,FALSE,NR,1.02,-0.01,0.46,0.01,0,-0.1,FALSE,0.22,1.02,0.16,0.05,-0.04
TCGA-CG-5725-01A,FALSE,NR,1.74,-0.12,0.38,-0.1,0,0.02,FALSE,-0.71,1.74,0.17,0.01,0.09
TCGA-CG-5726-01A,FALSE,NR,0.21,-0.16,0.71,-0.14,0,-0.35,FALSE,-1.06,0.21,0.12,-0.17,0.07
TCGA-CG-5732-01A,FALSE,NR,1.07,-0.04,0.48,0.07,0,0.18,TRUE,1.07,-1.3,-0.07,-0.16,0.02
TCGA-CG-5734-01A,FALSE,NR,1.72,0.12,0.53,0.15,0,0.12,TRUE,1.72,-1.99,-0.14,-0.1,-0.06
TCGA-D7-5577-01A,FALSE,NR,0.57,0.37,0.47,0.28,0,0.36,TRUE,0.57,-1.4,-0.06,-0.08,-0.07
