miRNA	HR	z	pvalue	lower	upper
hsa.let.7c	1.12033149139907	1.85892029658198	0.0630384367110154	0.993842840625791	1.26291864197577
hsa.let.7d	0.934620013007057	-0.634128066353276	0.525997247603691	0.758357394751599	1.15185079588949
hsa.mir.1.1	1.06222482842935	1.36929148142651	0.170908179728597	0.974296151275569	1.15808892876621
hsa.mir.1.2	1.06931136729919	1.49330867133084	0.135356406791041	0.979275780608198	1.16762491514404
hsa.mir.100	1.29006374719542	3.52340210801663	0.000426044447274026	1.11964787605601	1.48641774563116
hsa.mir.103a.1	0.779593879639946	-2.32222421475226	0.0202208657792681	0.63183699955838	0.961904126533993
hsa.mir.103a.2	0.778717011339301	-2.32554339161574	0.0200429225076969	0.630717131611849	0.961445556741907
hsa.mir.106b	0.899632274170662	-1.22752128800987	0.219626725653349	0.759838643552772	1.06514486410596
hsa.mir.107	0.716666099674717	-2.68137240605316	0.00733208694508161	0.561771783354124	0.914268593834317
hsa.mir.1180	0.894144799870584	-1.29388798839874	0.195704114073359	0.754746543618332	1.05928928048182
hsa.mir.125b.1	1.26345421327781	3.13950573564719	0.00169233101636212	1.0918346171568	1.46204976831231
hsa.mir.125b.2	1.2517673363483	3.05388401533473	0.00225899398781748	1.08376109965798	1.44581814649282
hsa.mir.1266	0.916726014340324	-1.4367118233509	0.150799894026796	0.814191778158538	1.03217277294178
hsa.mir.128.1	0.780280632803726	-2.16962009433534	0.0300356378394798	0.623610963295548	0.976310395043578
hsa.mir.128.2	0.774915007892138	-2.25489649193855	0.0241398265737341	0.620859485667434	0.96719673826185
hsa.mir.1307	0.957750480657484	-0.630099118565198	0.528629736353564	0.837407202697785	1.09538821763715
hsa.mir.130b	0.983244096257513	-0.261661210029043	0.793582648712098	0.866346113530871	1.11591538038429
hsa.mir.133a.1	1.12084823777913	2.44647525514963	0.0144260699632614	1.02294665049745	1.22811954222799
hsa.mir.133a.2	1.11193256752714	2.2072971438087	0.027293306722779	1.0119596717322	1.22178192398826
hsa.mir.133b	1.1330940655997	2.34034673269134	0.019265844250522	1.02051640600938	1.25809066266539
hsa.mir.135b	0.935980750055879	-1.4708651959818	0.141327576636524	0.85699715103362	1.02224373023709
hsa.mir.139	1.16815066430291	1.82456335068158	0.0680669482253991	0.98853242088867	1.38040588824048
hsa.mir.141	0.91986539440276	-1.78550434345888	0.0741795474466595	0.839274642369612	1.00819481621739
hsa.mir.142	1.04980158172975	0.965059850336321	0.33451483526543	0.9511303512721	1.15870906603737
hsa.mir.143	1.07295168875416	0.96238587223873	0.335855807685253	0.929611710305869	1.23839374400912
hsa.mir.145	1.26758082969395	3.6418046122785	0.0002707335274732	1.11572129801955	1.44010978607263
hsa.mir.146b	0.970491675692561	-0.430928566420001	0.666520311649328	0.846891049070652	1.11213135812701
hsa.mir.148b	0.976475128667153	-0.24354458060291	0.807583554161206	0.806228091820466	1.18267235609779
hsa.mir.150	1.01915129986868	0.323073359152139	0.746639685616812	0.908359597570758	1.14345615415056
hsa.mir.151a	0.805799304851482	-1.74067092909751	0.0817412768294576	0.631887931348646	1.02757544096988
hsa.mir.155	0.911502421961571	-1.40750032672871	0.159279080434701	0.801161434472265	1.03704026366308
hsa.mir.15a	0.833223535239235	-2.12466983785902	0.0336141719425369	0.704150800532694	0.985955649203772
hsa.mir.15b	0.79140379368761	-2.79638765099201	0.00516773747031889	0.671716864220362	0.932416614833824
hsa.mir.16.1	0.903196866216442	-1.29392597745153	0.195690990513977	0.774112715055225	1.05380594231036
hsa.mir.16.2	0.907038688303991	-1.25064390350428	0.211064425212857	0.778428114575197	1.05689808304162
hsa.mir.17	0.850256607049619	-2.15191783337218	0.031403826423279	0.733473217416103	0.985634213582205
hsa.mir.181a.1	0.957231141859185	-0.461756005229297	0.644256303617984	0.795135307209541	1.1523717418117
hsa.mir.181b.2	0.980364246508472	-0.232718041625639	0.815980358623516	0.829568439408191	1.1585711439526
hsa.mir.182	0.926244381333647	-1.48353941452983	0.137931152584811	0.837077004914556	1.02491007268767
hsa.mir.183	0.942761267328738	-1.26900440907661	0.204439491518401	0.860727095554002	1.03261395135146
hsa.mir.185	0.828303358539506	-1.9469961384437	0.0515351976272114	0.685226184652464	1.00125545277549
hsa.mir.186	0.983557037755387	-0.155309215585759	0.87657755078367	0.797869109879734	1.21246008216056
hsa.mir.188	0.924968122227111	-0.991414202140508	0.321483368196418	0.792796083362141	1.07917539590762
hsa.mir.18a	0.931051999483396	-1.21678899590217	0.223684507867189	0.829847267051998	1.04459924152249
hsa.mir.191	0.954601232707101	-0.677830751490446	0.497879010758325	0.834596944065441	1.09186059206858
hsa.mir.192	0.941386463833355	-1.45999557192821	0.144291290916325	0.868066227046309	1.02089961189262
hsa.mir.194.1	0.917320708767558	-2.02809559313162	0.0425504926073534	0.843920340232305	0.997105108880516
hsa.mir.194.2	0.916741886078415	-2.05121970311131	0.0402455559659183	0.843672165667436	0.996140112108297
hsa.mir.195	1.05612992828892	0.613803924650025	0.539344903500433	0.887124247271642	1.25733281314091
hsa.mir.197	0.990591007960002	-0.110920601488152	0.911679308783719	0.838201074044786	1.17068633700985
hsa.mir.1976	0.91845992799697	-0.912078042373014	0.361727636261762	0.765033276059656	1.10265614024143
hsa.mir.19a	0.95305325433927	-0.758030279130098	0.448432856252699	0.841632495495206	1.07922461462498
hsa.mir.19b.1	0.897359111368402	-1.39664081565661	0.162521609957708	0.770835845777528	1.04464962179288
hsa.mir.19b.2	0.895435451194788	-1.45609826460316	0.145365457228538	0.771739263123354	1.0389579558404
hsa.mir.200a	0.927629815926712	-1.61268183326931	0.106813649369714	0.846688614447742	1.016308783079
hsa.mir.200b	0.889450235485438	-2.47482635339915	0.0133300970184909	0.810639999700318	0.975922384409315
hsa.mir.200c	0.87986370033316	-2.5409181556583	0.0110561797087263	0.797149236953003	0.971160850787595
hsa.mir.203a	0.914121585057755	-2.16313099007603	0.0305311061582062	0.84269523701493	0.991601987960089
hsa.mir.20a	0.883441235961482	-1.87275256107607	0.0611025615395519	0.775977098353716	1.00578795308903
hsa.mir.21	0.961712299869885	-0.393458026499265	0.693981219247676	0.791747535608275	1.16816346894021
hsa.mir.210	1.02986986835658	0.850294378814451	0.395161440999993	0.962317753498591	1.10216395976567
hsa.mir.218.1	1.2158764215316	2.52004568988046	0.011733960208529	1.04439967866775	1.41550739877888
hsa.mir.218.2	1.23033878653588	2.73018583914424	0.0063298631941534	1.06022288293667	1.42775029101595
hsa.mir.221	0.805588804107472	-2.82181629792392	0.00477525220610446	0.69326954285627	0.936105340254148
hsa.mir.222	0.895912113241096	-1.63075800848149	0.10294139108948	0.7850448934178	1.02243645093677
hsa.mir.25	0.936482583668323	-0.678910088440896	0.49719483310935	0.774856764244752	1.13182160882199
hsa.mir.26b	0.995189399480296	-0.0534236991738328	0.957394322962616	0.833821967528505	1.18778585766163
hsa.mir.29c	0.951887548044715	-0.601909906707683	0.547234109497118	0.810690974005857	1.11767607285095
hsa.mir.3127	0.920454471802733	-0.987910977237433	0.323196248876292	0.780880848482116	1.08497530232495
hsa.mir.335	1.02729101004626	0.457683647712466	0.647179737806513	0.915414567617133	1.15284031591165
hsa.mir.33a	1.0115717054706	0.203812574999945	0.838499965672564	0.905620315121412	1.12991868471005
hsa.mir.33b	0.972402964171089	-0.383844639778016	0.701093599948767	0.842922532030513	1.12177274755125
hsa.mir.342	0.983450955260351	-0.216417728018269	0.828662148731639	0.845509261113136	1.14389732423413
hsa.mir.345	1.01917195001938	0.302260521956431	0.762453470559059	0.901089654112455	1.1527282096357
hsa.mir.361	0.695866514359302	-2.4052352595375	0.0161620574945422	0.517850499871156	0.935077220022079
hsa.mir.3613	0.88832846311591	-1.45083247742977	0.146826513701134	0.757007887686296	1.04242963807649
hsa.mir.3615	0.87523631223193	-1.47400329377086	0.1404807043334	0.733111597798259	1.04491404112277
hsa.mir.362	0.920533432623751	-1.06842060022168	0.285330828690003	0.790809639643868	1.07153701484933
