"","Tumor_Sample_Barcode","total","total_perMB","total_perMB_log"
"341","TCGA-BR-7197-01A-11D-2201-08",305,6.1,0.785329835010767
"342","TCGA-EQ-A4SO-01A-11D-A25D-08",320,6.4,0.806179973983887
"343","TCGA-B7-5818-01A-11D-1600-08",335,6.7,0.826074802700826
"344","TCGA-HU-A4GP-01A-11D-A25D-08",340,6.8,0.832508912706236
"345","TCGA-CD-8529-01A-11D-2340-08",362,7.24,0.859738566197147
"346","TCGA-HU-8604-01A-11D-2394-08",365,7.3,0.863322860120456
"347","TCGA-BR-6706-01A-11D-1882-08",378,7.56,0.878521795501206
"348","TCGA-CD-5801-01A-11D-1600-08",381,7.62,0.881954971339601
"349","TCGA-IN-A6RL-01A-11D-A32N-08",395,7.9,0.897627091290441
"350","TCGA-D7-A4YY-01A-11D-A25D-08",412,8.24,0.915927211697116
"351","TCGA-FP-7829-01A-11D-2053-08",425,8.5,0.929418925714293
"352","TCGA-CG-4437-01A-01D-1800-08",472,9.44,0.974971994298069
"353","TCGA-BR-6458-01A-11D-1800-08",518,10.36,1.01535975540921
"354","TCGA-F1-A448-01A-11D-A24D-08",536,10.72,1.03019478535675
"355","TCGA-BR-4363-01A-01D-1158-08",540,10.8,1.03342375548695
"356","TCGA-VQ-A8PX-01A-12D-A410-08",543,10.86,1.03582982525283
"357","TCGA-B7-A5TI-01A-11D-A31L-08",549,10.98,1.04060234011407
"358","TCGA-SW-A7EA-01A-12D-A34U-08",560,11.2,1.04921802267018
"359","TCGA-RD-A8NB-01A-12D-A397-08",564,11.28,1.05230909964732
"360","TCGA-HU-A4H4-01A-21D-A25D-08",574,11.48,1.05994188806195
"361","TCGA-CG-4465-01A-01D-1158-08",584,11.68,1.06744284277638
"362","TCGA-CD-A4MJ-01A-11D-A25D-08",635,12.7,1.10380372095596
"363","TCGA-BR-8059-01A-11D-2340-08",655,13.1,1.11727129565576
"364","TCGA-BR-7704-01A-11D-2053-08",661,13.22,1.12123145514962
"365","TCGA-VQ-A8E3-01A-11D-A397-08",674,13.48,1.1296898921993
"366","TCGA-HJ-7597-01A-21D-2201-08",692,13.84,1.14113609012074
"367","TCGA-BR-4280-01A-01D-1126-08",695,13.9,1.1430148002541
"368","TCGA-VQ-AA6D-01A-11D-A410-08",698,13.96,1.14488541828714
"369","TCGA-VQ-A91E-01A-31D-A410-08",728,14.56,1.16316137497702
"370","TCGA-VQ-A8PB-01A-11D-A397-08",732,14.64,1.16554107672237
"371","TCGA-VQ-A8PO-01A-11D-A410-08",749,14.98,1.17551181336345
"372","TCGA-R5-A7ZI-01A-11D-A34U-08",760,15.2,1.18184358794477
"373","TCGA-BR-8081-01A-11D-2340-08",791,15.82,1.19920647916166
"374","TCGA-BR-8360-01A-11D-2340-08",800,16,1.20411998265592
"375","TCGA-D7-A4YV-01A-11D-A25D-08",815,16.3,1.21218760440396
"376","TCGA-BR-8382-01A-11D-2394-08",820,16.4,1.2148438480477
"377","TCGA-BR-6802-01A-11D-1882-08",824,16.48,1.2169572073611
"378","TCGA-HU-A4H3-01A-21D-A25D-08",824,16.48,1.2169572073611
"379","TCGA-CD-8536-01A-11D-2340-08",833,16.66,1.22167499707077
"380","TCGA-F1-6874-01A-11D-1882-08",847,16.94,1.22891340599469
"381","TCGA-BR-8368-01A-11D-2340-08",881,17.62,1.24600590407603
"382","TCGA-CD-A4MI-01A-21D-A25D-08",909,18.18,1.25959387888595
"383","TCGA-BR-4256-01A-01D-1126-08",946,18.92,1.27692113206577
"384","TCGA-BR-4370-01A-01D-1158-08",968,19.36,1.28690535297237
"385","TCGA-BR-4257-01A-01D-1126-08",972,19.44,1.28869626059026
"386","TCGA-BR-8589-01A-11D-2394-08",999,19.98,1.30059548388996
"387","TCGA-CG-5733-01A-11D-1600-08",1032,20.64,1.31470969295517
"388","TCGA-CG-4306-01A-01D-1158-08",1037,20.74,1.31680875205302
"389","TCGA-HU-A4H8-01A-11D-A25D-08",1057,21.14,1.32510498297141
"390","TCGA-CG-4305-01A-01D-1158-08",1081,21.62,1.33485568961729
"391","TCGA-BR-8363-01A-11D-2340-08",1120,22.4,1.35024801833416
"392","TCGA-HF-7132-01A-11D-2053-08",1134,22.68,1.35564305022087
"393","TCGA-BR-4368-01A-01D-1158-08",1148,22.96,1.36097188372594
"394","TCGA-BR-8372-01A-11D-2340-08",1154,23.08,1.36323580448369
"395","TCGA-F1-6177-01A-11D-1800-08",1186,23.72,1.37511468469223
"396","TCGA-CG-5726-01A-11D-1600-08",1188,23.76,1.37584643630916
"397","TCGA-B7-5816-01A-21D-1600-08",1195,23.9,1.37839790094814
"398","TCGA-VQ-A91K-01A-11D-A410-08",1199,23.98,1.37984917876283
"399","TCGA-VQ-A924-01A-11D-A410-08",1206,24.12,1.38237730346811
"400","TCGA-VQ-A8PT-01A-11D-A410-08",1244,24.88,1.39585037601878
"401","TCGA-HU-A4GT-01A-21D-A25D-08",1252,25.04,1.39863432453839
"402","TCGA-BR-7707-01A-11D-2053-08",1256,25.12,1.40001963506516
"403","TCGA-CG-5728-01A-11D-1600-08",1277,25.54,1.4072208929274
"404","TCGA-D7-A6EY-01A-21D-A31L-08",1279,25.58,1.40790054014263
"405","TCGA-MX-A5UJ-01A-11D-A31L-08",1280,25.6,1.40823996531185
"406","TCGA-BR-7703-01A-11D-2053-08",1289,25.78,1.41128291301738
"407","TCGA-BR-4292-01A-01D-1126-08",1298,25.96,1.41430468812833
"408","TCGA-HF-A5NB-01A-11D-A31L-08",1299,25.98,1.41463914673701
"409","TCGA-HU-A4GU-01A-11D-A25D-08",1301,26.02,1.41530729222557
"410","TCGA-VQ-A8PP-01A-21D-A410-08",1318,26.36,1.42094540592197
"411","TCGA-FP-A4BE-01A-12D-A24D-08",1330,26.6,1.42488163663107
"412","TCGA-BR-4201-01A-01D-1126-08",1343,26.86,1.4291060083327
"413","TCGA-CG-4442-01A-01D-1158-08",1348,26.96,1.43071988786328
"414","TCGA-BR-8591-01A-11D-2394-08",1349,26.98,1.43104194533589
"415","TCGA-HU-A4G8-01A-11D-A25D-08",1354,27.08,1.43264866001311
"416","TCGA-BR-8361-01A-11D-2340-08",1415,28.3,1.45178643552429
"417","TCGA-HU-A4GH-01A-11D-A24D-08",1430,28.6,1.45636603312904
"418","TCGA-BR-8078-01A-11D-2340-08",1432,28.64,1.45697301363582
"419","TCGA-HU-A4G9-01A-11D-A24D-08",1440,28.8,1.45939248775923
"420","TCGA-BR-4362-01A-01D-1158-08",1458,29.16,1.46478751964594
"421","TCGA-CG-5723-01A-11D-1600-08",1601,32.02,1.50542132758328
"422","TCGA-BR-6566-01A-11D-1800-08",1645,32.9,1.51719589794997
"423","TCGA-HU-A4GQ-01A-11D-A25D-08",1666,33.32,1.52270499273475
"424","TCGA-BR-A4QL-01A-31D-A25D-08",1698,33.96,1.53096768157192
"425","TCGA-CG-4460-01A-01D-1158-08",1743,34.86,1.54232738277397
"426","TCGA-BR-6852-01A-11D-1882-08",1900,38,1.57978359661681
"427","TCGA-HU-A4GN-01A-11D-A25D-08",2118,42.36,1.62695595143545
"428","TCGA-VQ-A91D-01A-11D-A410-08",2136,42.72,1.6306312440205
"429","TCGA-CD-A4MG-01A-11D-A25D-08",2169,43.38,1.63728954767817
"430","TCGA-HU-A4GX-01A-12D-A25D-08",2249,44.98,1.65301945109961
"431","TCGA-BR-4361-01A-01D-1158-08",2259,45.18,1.65494622658434
"432","TCGA-BR-7851-01A-11D-2201-08",2523,50.46,1.70294724618156
"433","TCGA-BR-8487-01A-11D-2394-08",2644,52.88,1.72329144647758
"434","TCGA-HU-8602-01A-11D-2394-08",2941,58.82,1.76952502017105
"435","TCGA-BR-4184-01A-01D-1126-08",3104,62.08,1.79295170825013
"436","TCGA-CG-5721-01A-11D-1600-08",3685,73.7,1.86746748785905
"437","TCGA-BR-8680-01A-11D-2394-08",5396,107.92,2.03310193666385
"438","TCGA-VQ-A8P2-01A-11D-A364-08",6304,126.08,2.10064620014548
"439","TCGA-BR-6452-01A-12D-1800-08",9779,195.58,2.29132444179242
