"Patient","No benefits","Responder","TIDE","IFNG","MSI Expr Sig","Merck18","CD274","CD8","CTL.flag","Dysfunction","Exclusion","MDSC","CAF","TAM M2"
"High.risk.138","False","False","1.27","-0.34","0.58","-0.26","0.00","-0.32","False","-0.29","1.27","-0.06","0.23","0.02"
"High.risk.156","False","False","1.27","-0.11","0.40","-0.14","0.00","-0.31","False","-0.27","1.27","0.08","0.06","0.06"
"High.risk.129","False","False","1.27","-0.03","0.47","0.08","0.00","0.38","True","1.27","0.05","-0.15","0.16","0.01"
"High.risk.64","False","False","1.26","0.14","0.52","0.08","0.00","0.27","True","1.26","-0.72","-0.13","0.01","0.01"
"Low.risk.22","False","False","1.25","0.02","0.44","0.02","0.00","0.16","True","1.25","-1.87","-0.12","-0.14","-0.01"
"High.risk.92","False","False","1.25","-0.25","0.43","-0.27","0.00","-0.54","False","-1.05","1.25","0.05","0.17","-0.04"
"High.risk.136","False","False","1.23","-0.34","0.56","-0.28","0.00","-0.40","False","-0.11","1.23","-0.05","0.21","0.04"
"Low.risk.49","False","False","1.23","-0.13","0.40","-0.20","0.00","-0.13","False","-0.98","1.23","0.15","-0.00","0.04"
"High.risk.98","False","False","1.21","-0.13","0.59","0.06","0.00","0.30","True","1.21","-1.57","-0.13","-0.14","0.02"
"Low.risk.46","False","False","1.18","0.23","0.49","0.18","0.00","0.34","True","1.18","-1.17","-0.12","-0.03","-0.02"
"High.risk.154","False","False","1.17","0.08","0.53","0.14","0.00","0.38","True","1.17","-1.31","-0.17","-0.02","-0.00"
"Low.risk.33","False","False","1.17","0.28","0.42","0.01","0.00","-0.00","False","-0.58","1.17","0.17","0.01","0.00"
"High.risk.65","False","False","1.16","-0.11","0.39","-0.24","0.00","-0.52","False","-1.22","1.16","0.09","0.05","0.03"
"High.risk.54","False","False","1.16","-0.06","0.32","-0.17","0.00","-0.32","False","-1.32","1.16","0.15","0.00","0.04"
"Low.risk.140","False","False","1.16","0.17","0.45","0.18","0.00","0.30","True","1.16","-1.44","-0.13","-0.06","-0.02"
"High.risk.99","False","False","1.14","0.18","0.50","0.25","0.00","0.48","True","1.14","-1.01","-0.06","-0.10","-0.01"
"High.risk.4","False","False","1.13","0.15","0.64","0.00","0.00","-0.11","False","-0.79","1.13","0.03","0.18","-0.04"
"High.risk.108","False","False","1.12","-0.04","0.38","0.07","0.00","0.24","True","1.12","0.01","-0.11","0.12","-0.00"
"High.risk.69","False","False","1.11","-0.28","0.50","-0.13","0.00","-0.16","False","-0.41","1.11","0.02","0.10","0.05"
"Low.risk.2","False","False","1.10","-0.00","0.50","-0.05","0.00","-0.08","False","-0.55","1.10","0.04","0.09","0.04"
"High.risk.42","False","False","1.10","-0.11","0.39","0.04","0.00","0.27","True","1.10","0.38","-0.16","0.22","0.01"
"Low.risk.134","False","False","1.09","-0.00","0.46","-0.09","0.00","-0.19","False","-1.12","1.09","0.23","-0.11","0.03"
"Low.risk.17","False","False","1.08","0.13","0.33","0.06","0.00","0.16","False","-0.40","1.08","0.07","0.04","0.06"
"Low.risk.164","False","False","1.07","-0.06","0.42","-0.17","0.00","-0.53","False","-0.32","1.07","0.10","0.10","-0.03"
"High.risk.116","False","False","1.07","0.03","0.46","0.06","0.00","0.11","False","0.37","1.07","0.06","0.13","-0.01"
"High.risk.104","False","False","1.07","-0.04","0.48","0.07","0.00","0.18","True","1.07","-1.30","-0.07","-0.16","0.02"
"High.risk.97","False","False","1.06","0.44","0.70","0.37","0.00","0.47","True","1.06","-1.06","-0.04","-0.04","-0.09"
"High.risk.134","False","False","1.06","0.04","0.67","0.02","0.00","-0.08","False","-1.20","1.06","0.10","0.10","-0.04"
"High.risk.107","False","False","1.06","-0.02","0.36","-0.02","0.00","-0.31","False","0.32","1.06","0.02","0.15","0.01"
"Low.risk.116","False","False","1.06","0.15","0.54","0.12","0.00","0.27","True","1.06","-2.09","-0.14","-0.19","0.00"
"High.risk.173","False","False","1.05","-0.24","0.43","-0.22","0.00","-0.38","False","-0.56","1.05","0.04","0.05","0.06"
"High.risk.34","False","False","1.04","0.42","0.49","0.34","0.00","0.55","True","1.04","-1.25","-0.09","-0.00","-0.10"
"Low.risk.14","False","False","1.03","0.25","0.39","0.23","0.00","0.38","True","1.03","-0.02","0.01","-0.00","-0.01"
"Low.risk.83","False","False","1.03","-0.19","0.41","-0.23","0.00","-0.48","False","-0.57","1.03","0.10","0.05","0.02"
"High.risk.101","False","False","1.02","-0.01","0.46","0.01","0.00","-0.10","False","0.22","1.02","0.16","0.05","-0.04"
"High.risk.45","False","False","1.01","-0.14","0.46","0.01","0.00","0.23","False","0.96","1.01","-0.12","0.26","0.02"
"High.risk.110","False","False","1.01","-0.13","0.48","-0.06","0.00","-0.15","False","0.91","1.01","-0.06","0.26","-0.04"
"Low.risk.79","False","False","1.01","-0.27","0.51","-0.30","0.00","-0.66","False","-0.92","1.01","0.06","0.05","0.05"
"High.risk.155","False","False","0.98","-0.18","0.46","-0.12","0.00","0.05","False","-0.05","0.98","-0.09","0.22","0.02"
"High.risk.73","False","False","0.97","-0.26","0.48","-0.20","0.00","-0.44","False","-0.56","0.97","0.08","0.05","0.02"
"High.risk.85","False","False","0.95","0.10","0.57","0.18","0.00","0.23","True","0.95","-0.24","-0.01","0.02","-0.07"
"High.risk.23","False","False","0.95","0.17","0.44","0.20","0.00","0.31","True","0.95","0.70","-0.04","0.19","-0.04"
"High.risk.46","False","False","0.95","-0.04","0.51","0.03","0.00","0.17","True","0.95","0.93","-0.07","0.21","0.00"
"High.risk.49","False","False","0.94","-0.17","0.46","-0.23","0.00","-0.33","False","-0.53","0.94","0.03","0.07","0.05"
"High.risk.141","False","False","0.93","-0.06","0.38","-0.15","0.00","-0.30","False","-0.64","0.93","0.13","0.04","-0.02"
"Low.risk.86","False","False","0.93","0.14","0.66","0.16","0.00","0.27","True","0.93","-1.06","-0.11","-0.05","-0.01"
